,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Team
9,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,LAA
10,10,Luis Rengifo#,27,IF,1.9,78,304,283,41,85,13,1,6,30,24,7,16,44,.300,.347,.417,.763,116,.344,116,118,6,4,1,0,0,54/H69D,,LAA
11,11,Kevin Pillar,35,CF,0.3,83,282,259,37,61,14,1,7,41,10,3,12,61,.236,.291,.378,.669,88,.298,86,98,10,9,0,2,0,8H79/D,,LAA
12,12,Matt Thaiss*,29,C,0.6,57,186,157,14,32,9,0,2,16,3,0,28,58,.204,.323,.299,.622,79,.295,83,47,2,0,0,1,0,2/DH,,LAA
13,13,Mike Trout,32,CF,1.1,29,126,109,17,24,1,2,10,14,6,1,16,27,.220,.325,.541,.867,140,.372,136,59,0,1,0,0,1,8/D,,LAA
14,14,Michael Stefanic,28,2B,-0.2,40,124,110,8,24,4,0,0,8,0,0,10,20,.218,.301,.255,.555,61,.256,58,28,5,3,1,0,0,4/HD15,,LAA
15,15,Luis Guillorme*,29,IF,0.1,50,117,104,6,24,5,1,0,3,1,2,11,23,.231,.302,.298,.600,72,.272,74,31,4,0,1,1,0,45/H61D,,LAA
16,16,Niko Kavadas*,25,DH,-0.2,30,106,93,11,17,2,0,4,8,1,0,11,41,.183,.283,.333,.616,75,.280,74,31,0,2,0,0,0,D/3H,,LAA
17,17,Miguel SanÃ³,31,CI,-0.1,28,95,83,9,17,3,0,2,6,0,0,9,36,.205,.295,.313,.608,73,.272,70,26,2,2,0,1,0,5/D3H1,,LAA
18,18,Eric Wagaman,26,3B,0.4,18,74,72,6,18,5,0,2,10,0,0,2,17,.250,.270,.403,.673,88,.291,83,29,1,0,0,0,0,5/7H,,LAA
19,19,Jack LÃ³pez,31,MI,0.0,27,71,67,4,17,3,0,1,6,0,1,2,25,.254,.286,.343,.629,78,.289,87,23,2,1,1,0,0,4/6H9,,LAA
20,20,Aaron Hicks#,34,OF,-0.7,18,63,57,6,8,0,0,1,5,0,0,6,23,.140,.222,.193,.415,20,.196,15,11,1,0,0,0,0,/9DH781,,LAA
21,21,Kyren Paris,22,2B,-0.3,21,59,51,4,6,2,0,1,5,1,0,7,17,.118,.224,.216,.440,26,.225,32,11,1,0,0,0,0,4/H6D,,LAA
22,22,Cole Tucker#,27,UT,-0.5,24,57,50,3,9,4,1,0,3,3,1,6,17,.180,.263,.300,.563,60,.255,55,15,0,0,0,1,0,/5D7H1,,LAA
23,23,Gustavo Campero#,26,RF,-0.1,13,48,46,6,11,0,1,1,6,3,0,0,8,.239,.271,.348,.619,74,.305,83,16,0,2,0,0,0,9/7H,,LAA
24,24,Jordyn Adams,24,OF,-0.2,11,38,35,4,8,0,0,1,4,2,0,3,12,.229,.289,.314,.604,72,.280,67,11,1,0,0,0,0,/987H,,LAA
25,25,Ehire Adrianza#,34,IF,0.1,8,28,26,4,5,1,0,1,2,0,0,2,11,.192,.250,.346,.596,67,.255,58,9,1,0,0,0,0,/54H,,LAA
26,26,Charles Leblanc,28,IF,0.1,11,28,21,6,4,0,0,2,6,0,0,7,9,.190,.393,.476,.869,146,.378,145,10,0,0,0,0,0,/543D,,LAA
27,27,Keston Hiura,27,2B,-0.6,10,27,27,1,4,0,0,0,1,0,1,0,10,.148,.148,.148,.296,-15,.110,-33,4,0,0,0,0,0,/4DH,,LAA
28,28,Niko Goodrum#,32,CI,-0.5,4,15,13,1,0,0,0,0,0,1,0,2,4,.000,.133,.000,.133,-57,.168,-16,0,0,0,0,0,0,/53,,LAA
29,29,Bryce Teodosio,25,CF,-0.2,5,12,12,1,1,0,0,0,0,0,0,0,5,.083,.083,.083,.167,-52,.141,-24,1,0,0,0,0,0,/8DH,,LAA
30,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,LAA
31,30,Guillo ZuÃ±iga,25,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,LAA
32,31,JosÃ© Quijada*,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,LAA
33,,Team Totals,,,11.6,162,5975,5357,635,1227,227,15,165,596,133,50,482,1416,.229,.301,.369,.671,90,.301,90,1979,116,86,12,35,4,,,LAA
