,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Team
19,19,CÃ©sar Salazar*,28,C,0.2,12,32,25,5,8,2,0,0,8,0,0,2,6,.320,.387,.400,.787,128,.344,125,10,0,2,1,2,0,2/DH,,HOU
20,20,Grae Kessinger,26,IF,-0.4,22,25,21,4,0,0,0,0,0,0,0,3,7,.000,.160,.000,.160,-48,.111,-42,0,1,1,0,0,0,/H546D13,,HOU
21,21,Pedro LeÃ³n,26,RF,-0.3,7,21,20,2,2,0,0,0,0,2,0,1,10,.100,.143,.100,.243,-28,.141,-38,2,2,0,0,0,0,/9H,,HOU
22,22,Cooper Hummel#,29,LF,-0.1,6,8,8,0,0,0,0,0,0,1,0,0,2,.000,.000,.000,.000,-100,.143,-42,0,1,0,0,0,0,/H7D,,HOU
23,23,Aledmys DÃ­az,33,IF,-0.1,2,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-124,0,0,0,0,0,0,/34H,,HOU
24,24,Jacob Amaya,25,2B,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-127,0,0,0,0,0,0,/4,,HOU
25,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,HOU
26,25,Bryan King,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,HOU
27,26,Josh Hader*,30,P,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,HOU
28,27,Ryan Pressly,35,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,HOU
29,,Team Totals,,,26.3,161,6107,5530,740,1448,264,16,190,701,93,24,448,1176,.262,.322,.418,.741,111,.326,111,2314,132,67,12,46,28,,,HOU
0,1,Cal Raleigh#,27,C,4.7,153,628,546,73,120,16,0,34,100,6,1,70,176,.220,.312,.436,.748,119,.324,117,238,7,6,0,6,4,*2D/H,"MVP-12,GG",SEA
1,2,Ty France,29,1B,-0.2,88,340,300,28,67,14,0,8,31,0,1,28,83,.223,.312,.350,.662,97,.300,102,105,11,11,0,1,0,3/H4D,,SEA
2,3,Jorge Polanco#,30,2B,1.3,118,469,417,43,89,11,0,16,45,4,2,46,137,.213,.296,.355,.651,93,.294,96,148,16,4,0,2,3,*4/DH,,SEA
