,Rk,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Team,WAR,W,L,W-L%,ERA,GS,GF,CG,SHO,SV,IP,ER,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB
24,25.0,Jeremiah Estrada#,25.0,4,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,,,,,0.0,0.0,0,0.0,0.0,0,/1,,SDP,,,,,,,,,,,,,,,,,,,,,,,
25,26.0,Yu Darvish,37.0,2,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,,,,,0.0,0.0,0,0.0,0.0,0,/1,,SDP,,,,,,,,,,,,,,,,,,,,,,,
26,,Team Totals,,7,245.0,227.0,30,51,8.0,2.0,11,30.0,0.0,0.0,14,43,0.225,0.273,0.423,0.696,96.0,5.0,2,0.0,2.0,1,,,SDP,,,,,,,,,,,,,,,,,,,,,,,
0,1,Brandon Pfaadt,25,32,,,103,183,,,24,,,,42,185,,,,,,,4,,,1,SP,,ARI,0.5,11,10,.524,4.71,32,0,0,0,0,181.2,95,0,1,760,89,3.61,1.239,9.1,1.2,2.1,9.2,4.40
1,2,Ryne Nelson,26,28,,,73,155,,,17,,,,34,126,,,,,,,5,,,2,SP,,ARI,1.7,10,6,.625,4.24,25,1,0,0,1,150.2,71,0,4,630,99,3.74,1.254,9.3,1.0,2.0,7.5,3.71
2,3,Zac Gallen,28,28,,,62,133,,,13,,,,54,156,,,,,,,4,,,0,SP,,ARI,2.7,14,6,.700,3.65,28,0,0,0,0,148.0,60,0,5,621,115,3.38,1.264,8.1,0.8,3.3,9.5,2.89
3,4,Jordan Montgomery*,31,25,,,83,149,,,14,,,,44,83,,,,,,,2,,,3,SP,,ARI,-1.4,8,7,.533,6.23,21,3,0,0,1,117.0,81,0,7,532,67,4.48,1.650,11.5,1.1,3.4,6.4,1.89
4,5,Slade Cecconi,25,20,,,57,92,,,16,,,,17,64,,,,,,,4,,,1,SP,,ARI,-1.1,2,7,.222,6.66,13,2,0,0,0,77.0,57,1,2,338,63,5.02,1.416,10.8,1.9,2.0,7.5,3.76
5,6,Merrill Kelly,35,13,,,35,67,,,11,,,,19,63,,,,,,,2,,,0,SP,,ARI,1.0,5,1,.833,4.03,13,0,0,0,0,73.2,33,2,1,300,104,4.25,1.167,8.2,1.3,2.3,7.7,3.32
6,Rk,Player,Age,G,,,R,H,,,HR,,,,BB,SO,,,,,,,HBP,,,IBB,Pos,Awards,ARI,WAR,W,L,W-L%,ERA,GS,GF,CG,SHO,SV,IP,ER,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB
